Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2017-02-07 09:30:00-05:00,101.70444682466224,102.74883497196811,101.44122983906294,102.40070343017578,8418400,0.0,0.0,0.0
2017-02-08 09:30:00-05:00,103.09698662313353,103.81871519040145,103.08850034778261,103.79324340820312,15734200,0.0,0.0,0.0
2017-02-09 09:30:00-05:00,103.08849193941741,103.24132262014179,102.45167152411014,102.59601593017578,16890600,0.0,0.0,0.0
2017-02-10 09:30:00-05:00,101.98464784165563,102.69788346127706,101.98464784165563,102.53656005859375,7978500,0.0,0.0,0.0
2017-02-13 09:30:00-05:00,102.10351023456238,102.23936832646883,101.78934325558147,102.2138900756836,11536800,0.0,0.0,0.0
2017-02-14 09:30:00-05:00,102.09503933003197,102.14598936443409,100.89782040976628,101.47520446777344,13210500,0.0,0.0,0.0
2017-02-15 09:30:00-05:00,100.8383625740414,101.22894487135873,100.74496175532744,101.0081787109375,8481000,0.0,0.0,0.0
2017-02-16 09:30:00-05:00,101.22892790643903,102.06952865591839,101.14401985222068,101.56007385253906,10005800,0.0,0.0,0.0
2017-02-17 09:30:00-05:00,102.40918654643495,102.48560186613396,102.00161874049542,102.16294860839844,7886400,0.0,0.0,0.0
2017-02-21 09:30:00-05:00,101.6195542949398,102.40921185063112,101.55162523082028,101.98466491699219,8703800,0.0,0.0,0.0
2017-02-22 09:30:00-05:00,102.57052531415438,102.58750433842611,101.54311619876027,102.15446472167969,8101500,0.0,0.0,0.0
2017-02-23 09:30:00-05:00,102.37523596127491,102.51958034796156,102.17145526959541,102.46014404296875,5330800,0.0,0.0,0.0
2017-02-24 09:30:00-05:00,103.03750315580406,103.7082878517272,102.9610878441764,103.59790802001953,11336000,0.0,0.0,0.0
2017-02-27 09:30:00-05:00,103.42810578686611,103.50452759161271,102.93563634390253,102.98657989501953,11039800,0.0,0.0,0.0
2017-02-28 09:30:00-05:00,103.16494022418789,103.65741639069552,103.01210301658465,103.36872100830078,8410500,0.0,0.0,0.0
2017-03-01 09:30:00-05:00,101.61109873010643,101.70467946227603,101.19423674478779,101.6366195678711,10717100,0.234,0.0,0.0
2017-03-02 09:30:00-05:00,101.24524638386089,101.41538956457961,100.91346263807696,101.27076721191406,8201200,0.0,0.0,0.0
2017-03-03 09:30:00-05:00,101.4323786921564,101.53446197509766,100.85388295682637,101.53446197509766,9515200,0.0,0.0,0.0
2017-03-06 09:30:00-05:00,101.33882700131568,101.33882700131568,100.82838447846534,101.04957580566406,4489200,0.0,0.0,0.0
2017-03-07 09:30:00-05:00,100.79437243217026,100.96451563199523,100.59870191087924,100.74332427978516,7080100,0.0,0.0,0.0
2017-03-08 09:30:00-05:00,99.79900890266836,100.34347489972308,99.73095552094651,100.1988525390625,11336300,0.0,0.0,0.0
2017-03-09 09:30:00-05:00,99.82451908356929,99.94362709260692,99.33960390384011,99.39915466308594,10575400,0.0,0.0,0.0
2017-03-10 09:30:00-05:00,99.65440512066488,99.80753661654413,99.26307051798412,99.74798583984375,9218500,0.0,0.0,0.0
2017-03-13 09:30:00-04:00,99.3906717441391,99.6118566134296,99.10142050580555,99.11843872070312,6993100,0.0,0.0,0.0
2017-03-14 09:30:00-04:00,99.33964254382013,99.83306702123836,99.28860087048325,99.59486389160156,9869200,0.0,0.0,0.0
2017-03-15 09:30:00-04:00,100.01167606790688,101.09210528311603,99.90108366004232,100.81136322021484,14600500,0.0,0.0,0.0
2017-03-16 09:30:00-04:00,100.3774581436958,100.51357782491459,100.07119535149717,100.30089569091797,8018200,0.0,0.0,0.0
2017-03-17 09:30:00-04:00,100.4796412290349,101.02410747851724,100.41158132521218,100.93052673339844,7266800,0.0,0.0,0.0
2017-03-20 09:30:00-04:00,100.85390573422062,101.4324016002013,100.81136669635822,101.36434173583984,5497800,0.0,0.0,0.0
2017-03-21 09:30:00-04:00,101.27928962504151,102.34270087061924,101.25376230308804,102.20658111572266,12540700,0.0,0.0,0.0
2017-03-22 09:30:00-04:00,102.69999316114723,103.08281856737399,102.45328100292804,102.61492156982422,11661400,0.0,0.0,0.0
2017-03-23 09:30:00-04:00,102.79358757340869,102.9552216713236,102.13852260267582,102.47030639648438,6746500,0.0,0.0,0.0
2017-03-24 09:30:00-04:00,102.53835153485225,103.02326673998444,102.4277591163296,102.83610534667969,5819600,0.0,0.0,0.0
2017-03-27 09:30:00-04:00,103.64431664412231,103.76341818604651,103.09985059802676,103.30402374267578,6878500,0.0,0.0,0.0
2017-03-28 09:30:00-04:00,103.61027281845088,103.63579364679315,102.50432265961257,102.61492156982422,6811200,0.0,0.0,0.0
2017-03-29 09:30:00-04:00,102.88714591426722,103.26146218275666,102.83609777132416,103.22743225097656,6291000,0.0,0.0,0.0
2017-03-30 09:30:00-04:00,102.99772387602727,103.01473559425798,102.35967734838428,102.39370727539062,7042400,0.0,0.0,0.0
2017-03-31 09:30:00-04:00,102.32566886514685,102.77655413401666,102.26611810304227,102.69148254394531,5144800,0.0,0.0,0.0
2017-04-03 09:30:00-04:00,102.6872377797107,103.89783534514983,102.64461518150242,103.72732543945312,12996500,0.255,0.0,0.0
2017-04-04 09:30:00-04:00,103.47156126242764,103.6591123858132,103.1134937440126,103.1646499633789,6976700,0.0,0.0,0.0
2017-04-05 09:30:00-04:00,102.78098264104538,103.59941040510245,102.61047929597397,103.48005676269531,8555200,0.0,0.0,0.0
