,Symbol,Count,Count_Long,Count_Short,win,win_long,win_short,PnL_ratio_mean,PnL_ratio_long_mean,PnL_ratio_short_mean
0,AAPL,206,110,96,0.44660194174757284,0.5272727272727272,0.3541666666666667,-0.005591033506045645,-0.0009816554650312944,-0.01087261251137459
1,NVDA,318,163,155,0.5314465408805031,0.5644171779141104,0.4967741935483871,0.00028481654195289637,0.0025044143034315173,-0.002049341103989136
2,GOOG,194,99,95,0.5,0.5656565656565656,0.43157894736842106,-0.004002118049965313,0.0006221099630966712,-0.00882105040041938
3,AMZN,223,106,117,0.5381165919282511,0.5943396226415094,0.48717948717948717,0.001532126829347697,0.005588449747548553,-0.002142832395688976
4,MSFT,175,94,81,0.52,0.6170212765957447,0.4074074074074074,-0.00018057722824569252,0.006131495418898886,-0.007505698571845574
