,Symbol,Count,Count_Long,Count_Short,win,win_long,win_short,PnL_ratio_mean,PnL_ratio_long_mean,PnL_ratio_short_mean
0,NVDA,334,153,181,0.5,0.5620915032679739,0.44751381215469616,-0.001913816945722563,0.005750424967085707,-0.008392430275333974
1,AAPL,212,107,105,0.4811320754716981,0.5700934579439252,0.3904761904761905,-0.003719921045325163,0.0027330823818761526,-0.01029583882352079
2,AMZN,232,111,121,0.5086206896551724,0.5675675675675675,0.45454545454545453,-0.0015734720080368783,0.0035442360162239225,-0.006268228955912489
3,GOOG,193,99,94,0.49740932642487046,0.5959595959595959,0.39361702127659576,-0.003302750192445989,0.004659526276229635,-0.011688552005200106
4,MSFT,184,93,91,0.5597826086956522,0.6666666666666666,0.45054945054945056,0.001468897088235413,0.008878368158764085,-0.006103419500326856
