,Symbol,Count,Count_Long,Count_Short,win,win_long,win_short,PnL_ratio_mean,PnL_ratio_long_mean,PnL_ratio_short_mean
0,GOOG,194,93,101,0.44329896907216493,0.5376344086021505,0.3564356435643564,-0.007003511895202762,-0.00024706109415853077,-0.0132247982763623
1,NVDA,326,166,160,0.4601226993865031,0.5,0.41875,-0.00788066164593587,-0.003571623351486889,-0.012351288876426687
2,AAPL,199,98,101,0.457286432160804,0.5714285714285714,0.3465346534653465,-0.006121260501410968,0.00201956639550637,-0.01402028065881591
3,AMZN,211,115,96,0.5165876777251185,0.5217391304347826,0.5104166666666666,-0.0021224456022464425,-0.001922048102541336,-0.0023625051071015195
4,MSFT,171,86,85,0.5087719298245614,0.6395348837209303,0.3764705882352941,-0.0006802762840002656,0.007954300278574506,-0.00941643610025239
